FID,SRC_AGENCY,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,DECADE,SIZE_HA,CAUSE,PROTZONE,FIRE_TYPE,MORE_INFO,CFS_REF_ID,CFS_NOTE1,CFS_NOTE2,ACQ_DATE,SRC_AGY2,ECOZONE,ECOZ_REF,ECOZ_NAME,ECOZ_NOM
328420,QC,20191080116, ,52.57,-76.52,2019,7,1,7/1/2019 0:00,,7/22/2019 0:00,2010-2019,408.500000000000000,L,nordique, , ,QC-2019-20191080116, , ,6/15/2020 0:00,QC,15,15,Hudson Plain,Plaines hudsonniennes
328421,QC,20191080117, ,52.57,-76.54,2019,7,1,7/1/2019 0:00,,7/8/2019 0:00,2010-2019,34.500000000000000,L,nordique, , ,QC-2019-20191080117, , ,6/15/2020 0:00,QC,15,15,Hudson Plain,Plaines hudsonniennes
328422,QC,20191080118, ,50.93,-78.05,2019,7,1,7/1/2019 0:00,,7/22/2019 0:00,2010-2019,141.900000000000010,L,nordique, , ,QC-2019-20191080118, , ,6/15/2020 0:00,QC,15,15,Hudson Plain,Plaines hudsonniennes
328423,QC,20181080277, ,52.62,-76.70,2018,6,28,6/28/2018 0:00,7/21/2018 0:00,8/2/2018 0:00,2010-2019,3096.000000000000000,L,Nordique, , ,QC-2018-20181080277, , ,5/1/2019 0:00,QC,15,15,Hudson Plain,Plaines hudsonniennes
328424,QC,20181080304, ,51.13,-77.98,2018,6,28,6/28/2018 0:00,7/27/2018 0:00,7/27/2018 0:00,2010-2019,3006.400000000000100,L,Nordique, , ,QC-2018-20181080304, , ,5/1/2019 0:00,QC,15,15,Hudson Plain,Plaines hudsonniennes
328425,QC,20181080308, ,51.61,-77.96,2018,6,28,6/28/2018 0:00,7/27/2018 0:00,7/27/2018 0:00,2010-2019,1234.500000000000000,L,Nordique, , ,QC-2018-20181080308, , ,5/1/2019 0:00,QC,15,15,Hudson Plain,Plaines hudsonniennes
328426,QC,20181080310, ,51.53,-78.14,2018,6,28,6/28/2018 0:00,7/27/2018 0:00,7/27/2018 0:00,2010-2019,1142.500000000000000,L,Nordique, , ,QC-2018-20181080310, , ,5/1/2019 0:00,QC,15,15,Hudson Plain,Plaines hudsonniennes
328427,QC,20181080357, ,52.80,-77.33,2018,7,5,7/5/2018 0:00,7/6/2018 0:00,7/8/2018 0:00,2010-2019,6.300000000000000,L,Nordique, , ,QC-2018-20181080357, , ,5/1/2019 0:00,QC,15,5b,Taiga Shield East,Taiga du Bouclier
328428,QC,20181080359, ,51.90,-76.65,2018,7,5,7/5/2018 0:00,7/12/2018 0:00,7/12/2018 0:00,2010-2019,81.099999999999994,L,Nordique, , ,QC-2018-20181080359, , ,5/1/2019 0:00,QC,15,15,Hudson Plain,Plaines hudsonniennes
328429,QC,20181080360, ,52.66,-77.51,2018,7,5,7/5/2018 0:00,7/12/2018 0:00,7/11/2018 0:00,2010-2019,0.5,L,Nordique, , ,QC-2018-20181080360, , ,5/1/2019 0:00,QC,15,15,Hudson Plain,Plaines hudsonniennes
328430,QC,20181080374, ,52.01,-76.57,2018,7,5,7/5/2018 0:00,7/23/2018 0:00,7/23/2018 0:00,2010-2019,25.500000000000000,L,Nordique, , ,QC-2018-20181080374, , ,5/1/2019 0:00,QC,15,15,Hudson Plain,Plaines hudsonniennes
328431,QC,20181080408, ,50.46,-79.06,2018,7,8,7/8/2018 0:00,9/1/2018 0:00,9/1/2018 0:00,2010-2019,5608.899999999999600,L,Nordique, , ,QC-2018-20181080408, , ,5/1/2019 0:00,QC,15,15,Hudson Plain,Plaines hudsonniennes
328432,QC,20181080421, ,51.77,-78.13,2018,7,11,7/11/2018 0:00,7/27/2018 0:00,7/27/2018 0:00,2010-2019,60.600000000000001,L,Nordique, , ,QC-2018-20181080421, , ,5/1/2019 0:00,QC,15,15,Hudson Plain,Plaines hudsonniennes
328433,QC,20181080424, ,52.03,-77.03,2018,7,8,7/8/2018 0:00,9/1/2018 0:00,9/1/2018 0:00,2010-2019,1675.000000000000000,L,Nordique, , ,QC-2018-20181080424, , ,5/1/2019 0:00,QC,15,15,Hudson Plain,Plaines hudsonniennes
328434,QC,20181080451, ,50.17,-79.52,2018,7,15,7/15/2018 0:00,,7/17/2018 0:00,2010-2019,0.3,L,Intensive, , ,QC-2018-20181080451, , ,5/1/2019 0:00,QC,15,15,Hudson Plain,Plaines hudsonniennes
328435,QC,20181080517, ,51.97,-76.24,2018,7,30,7/30/2018 0:00,8/12/2018 0:00,8/12/2018 0:00,2010-2019,0.7,L,Nordique, , ,QC-2018-20181080517, , ,5/1/2019 0:00,QC,15,15,Hudson Plain,Plaines hudsonniennes
328436,QC,2017-68, ,52.27,-76.40,2017,6,5,6/5/2017 0:00,6/15/2017 0:00,6/15/2017 0:00,2010-2019,1698.700000000000000,L,Nordique, , ,QC-2017-68, , ,5/18/2018 0:00,QC,15,15,Hudson Plain,Plaines hudsonniennes
328437,QC,2017-154, ,51.38,-78.50,2017,7,17,7/17/2017 0:00,,7/19/2017 0:00,2010-2019,0.5,H,Nordique, , ,QC-2017-154, , ,5/18/2018 0:00,QC,15,15,Hudson Plain,Plaines hudsonniennes
328445,QC,20181080241, ,51.39,-78.55,2018,6,13,6/13/2018 0:00,,6/17/2018 0:00,2010-2019,0.6,H,Nordique, , ,QC-2018-20181080241, , ,5/1/2019 0:00,QC,15,15,Hudson Plain,Plaines hudsonniennes
328446,QC,20181080406, ,51.56,-79.42,2018,7,7,7/7/2018 0:00,7/26/2018 0:00,7/26/2018 0:00,2010-2019,1184.800000000000000,L,Nordique, , ,QC-2018-20181080406, , ,5/1/2019 0:00,QC,15,15,Hudson Plain,Plaines hudsonniennes
328447,QC,20191080061, ,48.36,-64.82,2019,6,5,6/5/2019 0:00,,6/6/2019 0:00,2010-2019,0,H,Intensive, , ,QC-2019-20191080061, , ,6/15/2020 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
328448,QC,20191080071, ,48.68,-65.22,2019,6,8,6/8/2019 0:00,,6/9/2019 0:00,2010-2019,0,H,Intensive, , ,QC-2019-20191080071, , ,6/15/2020 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
328449,QC,20191080086, ,48.34,-64.75,2019,6,7,6/7/2019 0:00,,6/7/2019 0:00,2010-2019,0,H,Intensive, , ,QC-2019-20191080086, , ,6/15/2020 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
328450,QC,20191080099, ,48.84,-64.57,2019,6,23,6/23/2019 0:00,,6/23/2019 0:00,2010-2019,0.2,H,Intensive, , ,QC-2019-20191080099, , ,6/15/2020 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
328451,QC,20191080265, ,49.13,-65.24,2019,7,28,7/28/2019 0:00,,8/11/2019 0:00,2010-2019,0,L,Intensive, , ,QC-2019-20191080265, , ,6/15/2020 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
328452,QC,20181080033, ,48.13,-66.12,2018,5,11,5/11/2018 0:00,,5/11/2018 0:00,2010-2019,0,H,Intensive, , ,QC-2018-20181080033, , ,5/1/2019 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
328453,QC,20181080068, ,49.19,-65.72,2018,5,14,5/14/2018 0:00,,5/14/2018 0:00,2010-2019,0.3,H,Intensive, , ,QC-2018-20181080068, , ,5/1/2019 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
328454,QC,20181080149, ,49.05,-66.62,2018,5,22,5/22/2018 0:00,,5/23/2018 0:00,2010-2019,0.1,H,Intensive, , ,QC-2018-20181080149, , ,5/1/2019 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
328455,QC,20181080264, ,48.16,-67.13,2018,6,26,6/26/2018 0:00,,6/26/2018 0:00,2010-2019,0,H,Intensive, , ,QC-2018-20181080264, , ,5/1/2019 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
328456,QC,20181080386, ,48.48,-67.16,2018,7,7,7/7/2018 0:00,,7/7/2018 0:00,2010-2019,0,H,Intensive, , ,QC-2018-20181080386, , ,5/1/2019 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
328457,QC,20181080437, ,48.33,-66.77,2018,7,12,7/12/2018 0:00,,7/12/2018 0:00,2010-2019,0,H,Intensive, , ,QC-2018-20181080437, , ,5/1/2019 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
328458,QC,20181080564, ,48.98,-66.57,2018,9,9,9/9/2018 0:00,,9/10/2018 0:00,2010-2019,0,H,Intensive, , ,QC-2018-20181080564, , ,5/1/2019 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
328459,QC,20181080571, ,48.69,-64.40,2018,9,14,9/14/2018 0:00,,9/17/2018 0:00,2010-2019,0,H,Intensive, , ,QC-2018-20181080571, , ,5/1/2019 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
328460,QC,20181080582, ,48.44,-64.37,2018,10,23,10/23/2018 0:00,,10/25/2018 0:00,2010-2019,0,H,Intensive, , ,QC-2018-20181080582, , ,5/1/2019 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
328461,QC,20181080584, ,48.94,-66.83,2018,10,8,10/8/2018 0:00,,10/14/2018 0:00,2010-2019,0,H,Intensive, , ,QC-2018-20181080584, , ,5/1/2019 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
328462,QC,20181080591, ,48.84,-64.68,2018,10,25,10/25/2018 0:00,,10/31/2018 0:00,2010-2019,0,H,Intensive, , ,QC-2018-20181080591, , ,5/1/2019 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
328463,QC,2017-30, ,48.35,-64.66,2017,5,13,5/13/2017 0:00,,5/13/2017 0:00,2010-2019,0.2,H,Intensive, , ,QC-2017-30, , ,5/18/2018 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
